"filename", "language", "XML", "JSON", "C#", "Razor", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\DiabetesSettingsRepository.cs", "C#", 0, 0, 221, 0, 0, 0, 36, 22, 279
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\MeasurementRepository.cs", "C#", 0, 0, 523, 0, 0, 0, 108, 75, 706
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Implementations\UserRepository.cs", "C#", 0, 0, 160, 0, 0, 0, 37, 22, 219
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IBackpackRepository.cs", "C#", 0, 0, 21, 0, 0, 0, 52, 18, 91
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IChildRepository.cs", "C#", 0, 0, 12, 0, 0, 0, 22, 9, 43
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IDiabetesSettingsRepository.cs", "C#", 0, 0, 17, 0, 0, 0, 40, 14, 71
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IMeasurementRepository.cs", "C#", 0, 0, 35, 0, 0, 0, 87, 28, 150
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IRepository.cs", "C#", 0, 0, 13, 0, 0, 0, 40, 11, 64
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Repositories\Interfaces\IUserRepository.cs", "C#", 0, 0, 14, 0, 0, 0, 31, 10, 55
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\AppIcon\appicon.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\AppIcon\appiconfg.svg", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Splash\splash.svg", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Buttons.xaml", "XML", 284, 0, 0, 0, 0, 0, 19, 33, 336
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Cards.xaml", "XML", 145, 0, 0, 0, 0, 0, 33, 31, 209
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Chips.xaml", "XML", 215, 0, 0, 0, 0, 0, 14, 29, 258
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Colors.xaml", "XML", 102, 0, 0, 0, 0, 0, 45, 32, 179
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Radii.xaml", "XML", 26, 0, 0, 0, 0, 0, 9, 9, 44
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Shadows.xaml", "XML", 98, 0, 0, 0, 0, 0, 11, 21, 130
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Spacing.xaml", "XML", 130, 0, 0, 0, 0, 0, 19, 26, 175
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\States.xaml", "XML", 579, 0, 0, 0, 0, 0, 44, 70, 693
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Styles.xaml", "XML", 168, 0, 0, 0, 0, 0, 6, 29, 203
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Theme.Dark.xaml", "XML", 101, 0, 0, 0, 0, 0, 111, 42, 254
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Theme.Light.xaml", "XML", 101, 0, 0, 0, 0, 0, 112, 44, 257
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Resources\Styles\Typography.xaml", "XML", 276, 0, 0, 0, 0, 0, 72, 62, 410
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\CryptoService.cs", "C#", 0, 0, 173, 0, 0, 0, 102, 42, 317
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Junior\Security\MauiEncryptionService.cs", "C#", 0, 0, 105, 0, 0, 0, 35, 22, 162
