"filename", "language", "C#", "Razor", "CSS", "XML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Admin\AdminTokens.razor", "Razor", 0, 353, 0, 0, 0, 0, 0, 56, 409
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Admin\LinkManager.razor", "Razor", 0, 692, 0, 0, 0, 0, 0, 86, 778
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Admin\LinkManager.razor.css", "CSS", 0, 0, 343, 0, 0, 0, 9, 60, 412
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Admin\SystemStats.razor", "Razor", 0, 404, 0, 0, 0, 0, 0, 57, 461
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Admin\SystemStats.razor.css", "CSS", 0, 0, 333, 0, 0, 0, 10, 65, 408
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Doctor\CohortStats.razor", "Razor", 0, 837, 0, 0, 0, 0, 0, 130, 967
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Doctor\Dashboard.razor", "Razor", 0, 520, 0, 0, 0, 0, 0, 87, 607
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Doctor\NoteEditor.razor", "Razor", 0, 811, 0, 0, 0, 0, 0, 127, 938
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Error.razor", "Razor", 0, 29, 0, 0, 0, 0, 0, 8, 37
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Index.razor", "Razor", 0, 926, 0, 0, 0, 0, 0, 122, 1048
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Parent\ParentBackpack.razor", "Razor", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Parent\ParentDoctor.razor", "Razor", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Parent\ParentExport.razor", "Razor", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Parent\ParentMeasurements.razor", "Razor", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Parent\ParentNutrition.razor", "Razor", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Pages\Parent\ParentSettings.razor", "Razor", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Routes.razor", "Razor", 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\AddNoteModal.razor", "Razor", 0, 385, 0, 0, 0, 0, 0, 55, 440
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\AiRecommendationCard.razor", "Razor", 0, 517, 0, 0, 0, 0, 0, 88, 605
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\AlertBanner.razor", "Razor", 0, 473, 0, 0, 0, 0, 0, 76, 549
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\BreadcrumbItem.cs", "C#", 2, 0, 0, 0, 0, 0, 3, 2, 7
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\ChildSelector.razor", "Razor", 0, 657, 0, 0, 0, 0, 0, 94, 751
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\ConfirmationDialog.razor", "Razor", 0, 161, 0, 0, 0, 0, 0, 14, 175
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\DataTable.razor", "Razor", 0, 307, 0, 0, 0, 0, 0, 55, 362
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\DoctorNoteCard.razor", "Razor", 0, 202, 0, 0, 0, 0, 0, 31, 233
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\EmptyState.razor", "Razor", 0, 311, 0, 0, 0, 0, 0, 61, 372
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\GlucoseChart.razor", "Razor", 0, 301, 0, 0, 0, 0, 0, 59, 360
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\GlucoseChart.razor.css", "CSS", 0, 0, 164, 0, 0, 0, 9, 28, 201
"c:\Users\jarrh\source\repos\SugarGuard.Junior\SugarGuard.Web\Components\Shared\GlucoseStatusBadge.razor", "Razor", 0, 203, 0, 0, 0, 0, 0, 38, 241
